Accession,Isolate_ID,Originating_lab,Submitting_lab,Subtype
EPI693003 | a-egypt-8102-2014h3D,EPIISL206911,Ministry of Health and Population,Crick Worldwide Influenza Centre,H3N2
EPI636799 | A/Omsk/160/2014,EPIISL194636,,State Research Center of Virology and Biotechnology Vector,H3N2
EPI629967 | 15S0965,EPIISL192815,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629965 | 15S0964,EPIISL192814,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629963 | 15S0963,EPIISL192813,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629946 | 15S0953,EPIISL192805,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629944 | 15S0957,EPIISL192804,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629858 | 15S0492,EPIISL192766,Medical Research Institute,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629852 | 15S0425,EPIISL192764,Medical Research Institute,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629777 | 15S0430,EPIISL192731,National Centre for Scientific Services for Virology  and Vector Borne Diseases,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI624150 | 3000384231_270451_v1_4,EPIISL191687,South Dakota Public Health Lab,Centers for Disease Control and Prevention,H3N2
EPI624035 | 3000095245_267629_v1_4,EPIISL191672,INRB Service de Virologie,Centers for Disease Control and Prevention,H3N2
EPI623483 | 3000093094_260346_v1_4,EPIISL191434,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,H3N2
EPI623476 | 3000092933_260026_v1_4,EPIISL191433,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,H3N2
EPI623433 | 3000097821_262213_v1_4,EPIISL191425,University of Michigan SPH EPID,Centers for Disease Control and Prevention,H3N2
EPI612397 | 3000097180_267623_v1_4,EPIISL188888,Washington State Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI590415 | A/Netherlands/779/2014|HA|,EPIISL179498,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H3N2
EPI590394 | A/Netherlands/769/2014|HA|,EPIISL179491,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H3N2
EPI590388 | A/Netherlands/767/2014|HA|,EPIISL179489,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H3N2
EPI590331 | A/Netherlands/457/2014|HA|,EPIISL179470,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H3N2
EPI589769 | a-konya-1216-2014h3O,EPIISL179356,Refik Saydam National Public Health Agency,Crick Worldwide Influenza Centre,H3N2
EPI589767 | a-kazakhstan-3791-2014h3D,EPIISL179355,National Reference Laboratory,Crick Worldwide Influenza Centre,H3N2
EPI589723 | a-gumushane-1211-2014h3O,EPIISL179333,Refik Saydam National Public Health Agency,Crick Worldwide Influenza Centre,H3N2
EPI589701 | a-giresun-1346-2014h3O,EPIISL179322,Refik Saydam National Public Health Agency,Crick Worldwide Influenza Centre,H3N2
EPI589679 | a-estonia-90416-2014h3D,EPIISL179311,Health Protection Inspectorate,Crick Worldwide Influenza Centre,H3N2
EPI586582 | A/TOCHIGI/14162/2014_MDCK1_HA,EPIISL178097,Tochigi Prefectural Institute of Public Health and Environmental Science,National Institute of Infectious Diseases (NIID),H3N2
EPI584699 | 3000093894_268172_v1_4,EPIISL177543,,Centers for Disease Control and Prevention,H3N2
EPI580617 | A/Nagasaki/14N012/2014,EPIISL176864,,Niigata University,H3N2
EPI578702 | 3000095233_267089_v1_4,EPIISL176548,INRB Service de Virologie,Centers for Disease Control and Prevention,H3N2
EPI577724 | A/Nagasaki/14N018/2014,EPIISL176330,,Niigata University,H3N2
EPI577708 | A/Nagasaki/14N015/2014,EPIISL176328,,Niigata University,H3N2
EPI577620 | A/Kyoto/14K001/2014,EPIISL176317,,Niigata University,H3N2
EPI575661 | 3000093510_266682_v1_4,EPIISL175231,CSEE,Centers for Disease Control and Prevention,H3N2
EPI575486 | 3000095219_266710_v1_4,EPIISL175211,INRB Service de Virologie,Centers for Disease Control and Prevention,H3N2
EPI575478 | 3000095222_266709_v1_4,EPIISL175210,INRB Service de Virologie,Centers for Disease Control and Prevention,H3N2
EPI574563 | a-denmark-45-2014h3O,EPIISL175010,Statens Serum Institute,National Institute for Medical Research,H3N2
EPI574336 | A/Paris/083/2015,EPIISL174916,Institut Pasteur,Institut Pasteur,H3N2
EPI574284 | A/Paris/081/2015,EPIISL174910,Institut Pasteur,Institut Pasteur,H3N2
EPI572184 | 3000096677_265448_v1_4,EPIISL174180,Puerto Rico Department of Health,Centers for Disease Control and Prevention,H3N2
EPI571982 | 3000096679_265133_v1_4,EPIISL174150,Puerto Rico Department of Health,Centers for Disease Control and Prevention,H3N2
EPI571887 | 3000095103_265108_v1_4,EPIISL174137,National Influenza Lab,Centers for Disease Control and Prevention,H3N2
EPI568098 | A/Myanmar/14M465/2014,EPIISL173358,,Niigata University,H3N2
EPI568090 | A/Myanmar/14M391/2014,EPIISL173357,,Niigata University,H3N2
EPI568058 | A/Myanmar/14M059/2014,EPIISL173353,,Niigata University,H3N2
EPI566573 | A/Novosibirsk/RII49,EPIISL173003,,WHO National Influenza Centre Russian Federation,H3N2
EPI566571 | A/Moscow/RII252/2014,EPIISL173001,,WHO National Influenza Centre Russian Federation,H3N2
EPI566322 | infl_15-00277NGS_H3,EPIISL172907,,Swedish Institute for Infectious Disease Control,H3N2
EPI565911 | 3000095095_264669_v1_4,EPIISL172800,National Influenza Lab,Centers for Disease Control and Prevention,H3N2
EPI565903 | 3000095115_264156_v1_4,EPIISL172799,National Influenza Lab,Centers for Disease Control and Prevention,H3N2
EPI565771 | 3000095093_264633_v1_4,EPIISL172781,National Influenza Lab,Centers for Disease Control and Prevention,H3N2
EPI565739 | 3000095116_264606_v1_4,EPIISL172777,National Influenza Lab,Centers for Disease Control and Prevention,H3N2
EPI565587 | 3000095101_264670_v1_4,EPIISL172755,National Influenza Lab,Centers for Disease Control and Prevention,H3N2
EPI565544 | 3000095105_264667_v1_4,EPIISL172750,National Influenza Lab,Centers for Disease Control and Prevention,H3N2
EPI564705 | 3000097807_261053_v1_4,EPIISL172596,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI564679 | 3000094047_263750_v1_4,EPIISL172592,Ethiopian Health and Nutrition Research Institute (EHNRI),Centers for Disease Control and Prevention,H3N2
EPI564622 | 3000096900_263544_v1_4,EPIISL172584,Washington State Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI565628 | 3000097808_261971_v1_4,EPIISL172580,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI564561 | 3000097946_263468_v1_4,EPIISL172573,Colorado Department of Health Lab,Centers for Disease Control and Prevention,H3N2
EPI564543 | 3000097502_263969_v1_4,EPIISL172569,Delaware Public Health Lab,Centers for Disease Control and Prevention,H3N2
EPI564512 | 3000097499_263957_v1_4,EPIISL172564,Delaware Public Health Lab,Centers for Disease Control and Prevention,H3N2
EPI564506 | 3000097907_263439_v1_4,EPIISL172563,Illinois Department of Public Health-Chicago,Centers for Disease Control and Prevention,H3N2
EPI564365 | 3000097327_262297_v1_4,EPIISL172542,Minnesota Department of Health,Centers for Disease Control and Prevention,H3N2
EPI564312 | 3000094048_263749_v1_4,EPIISL172532,Ethiopian Health and Nutrition Research Institute (EHNRI),Centers for Disease Control and Prevention,H3N2
EPI564217 | 3000097224_261158_v1_4,EPIISL172514,Minnesota Department of Health,Centers for Disease Control and Prevention,H3N2
EPI564171 | 3000097460_263192_v1_4,EPIISL172508,Rhode Island Department of Health,Centers for Disease Control and Prevention,H3N2
EPI563274 | a-norway-3229-2014h3D,EPIISL172409,WHO National Influenza Centre,National Institute for Medical Research,H3N2
EPI563073 | a-greece-1-2014h3D,EPIISL172368,Aristotelian University of Thessaloniki,National Institute for Medical Research,H3N2
EPI563040 | a-dakar-23-2014C3M1h3G,EPIISL172358,Institut Pasteur de Dakar,National Institute for Medical Research,H3N2
EPI563026 | a-dakar-03-2014C2h3O,EPIISL172354,Institut Pasteur de Dakar,National Institute for Medical Research,H3N2
EPI562792 | HA_14BWB87_T1199,EPIISL172305,,Robert-Koch-Institute,H3N2
EPI562791 | HA_14BLN82_T1149,EPIISL172304,,Robert-Koch-Institute,H3N2
EPI562254 | 2015-CX0176.4,EPIISL171920,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI562221 | 2015-CX0005.4,EPIISL171909,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI562218 | 2015-CX0004.4,EPIISL171908,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI562142 | A/OSAKA-C/2020/2014_MDCK2_HA,EPIISL171879,Osaka City Institute of Public Health and Environmental Sciences,National Institute of Infectious Diseases (NIID),H3N2
EPI562097 | A/YOKOHAMA/184/2014_MDCK2_HA,EPIISL171856,Yokohama City Institute of Public Health.,National Institute of Infectious Diseases (NIID),H3N2
EPI562006 | 15S0353,EPIISL171815,Medical Research Institute,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI561977 | 15S0001,EPIISL171807,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI561864 | 14S3193,EPIISL171785,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI561831 | 14S3303,EPIISL171773,Institut Pasteur New Caledonia,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI561819 | 14S3301,EPIISL171769,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI560683 | 3000093890_263014_v1_4,EPIISL171384,Missouri Department. of Health & Senior Services,Centers for Disease Control and Prevention,H3N2
EPI559003 | infl_15-00273NGS_H3,EPIISL170841,,Swedish Institute for Infectious Disease Control,H3N2
EPI558965 | infl_14-18019NGS_H3,EPIISL170836,,Swedish Institute for Infectious Disease Control,H3N2
EPI558597 | 3000096830_262526_v1_4,EPIISL170742,Arkansas Department of Health,Centers for Disease Control and Prevention,H3N2
EPI558536 | 3000096784_262125_v1_4,EPIISL170733,Alaska State Virology Lab,Centers for Disease Control and Prevention,H3N2
EPI558487 | 3000097860_262242_v1_4,EPIISL170726,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI558453 | 3000097862_261973_v1_4,EPIISL170721,Tennessee Department of Health Laboratory-Nashville,Centers for Disease Control and Prevention,H3N2
EPI558434 | 3000097863_262222_v1_4,EPIISL170718,Tennessee Department of Health Laboratory-Nashville,Centers for Disease Control and Prevention,H3N2
EPI558331 | 3000097753_261051_v1_4,EPIISL170703,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,H3N2
EPI558295 | 3000097833_261598_v1_4,EPIISL170698,Utah Department of Health,Centers for Disease Control and Prevention,H3N2
EPI558191 | 3000097374_262295_v1_4,EPIISL170684,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,H3N2
EPI558135 | 3000093771_262018_v1_4,EPIISL170675,"Texas Department of State Health Services, South Texas Laboratory",Centers for Disease Control and Prevention,H3N2
EPI558102 | a-ukraine-501-2014h3D,EPIISL170669,Institute of Epidemiology and Infectious Diseases AMS of Ukraine,National Institute for Medical Research,H3N2
EPI558090 | a-oman-6132-2014h3D,EPIISL170663,"Central Public Health Laboratory, Ministry of Health",National Institute for Medical Research,H3N2
EPI558084 | a-oman-6060-2014h3D,EPIISL170660,"Central Public Health Laboratory, Ministry of Health",National Institute for Medical Research,H3N2
EPI557381 | A/Chita/RII268/2014,EPIISL170347,,WHO National Influenza Centre Russian Federation,H3N2
EPI557375 | A/Chita/RII262/2014,EPIISL170341,,WHO National Influenza Centre Russian Federation,H3N2
EPI557373 | A/Chita/RII260/2014,EPIISL170339,,WHO National Influenza Centre Russian Federation,H3N2
EPI557241 | a-belgium-g589-2014h3O,EPIISL170271,Scientific Institute of Public Health,National Institute for Medical Research,H3N2
EPI557052 | A/Nord Pas de Calais/2372/2014,EPIISL170215,Institut Pasteur,Institut Pasteur,H3N2
EPI557049 | A/Paris/2364/2014,EPIISL170214,Institut Pasteur,Institut Pasteur,H3N2
EPI557031 | A/Caen/2343/2014,EPIISL170208,Institut Pasteur,Institut Pasteur,H3N2
EPI557028 | A/Paris/2339/2014,EPIISL170207,Institut Pasteur,Institut Pasteur,H3N2
EPI557003 | A/Bourgogne/2312/2014,EPIISL170199,Institut Pasteur,Institut Pasteur,H3N2
EPI556997 | A/Paris/2306/2014,EPIISL170197,Institut Pasteur,Institut Pasteur,H3N2
EPI556991 | A/Paris/2304/2014,EPIISL170195,Institut Pasteur,Institut Pasteur,H3N2
EPI556764 | 3000096809_262142_v1_4,EPIISL170137,California Department of Health Services,Centers for Disease Control and Prevention,H3N2
EPI556622 | 3000093321_262083_v1_4,EPIISL170117,Oregon Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI556548 | 3000097389_262299_v1_4,EPIISL170108,Nebraska Public Health Lab,Centers for Disease Control and Prevention,H3N2
EPI556467 | A/FUKUSHIMA/103/2014_MDCK1_HA,EPIISL170085,Fukushima Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H3N2
EPI556333 | 3000093102_261627_v1_4,EPIISL170045,Southern Nevada Public Health Lab,Centers for Disease Control and Prevention,H3N2
EPI556219 | 3000093109_261219_v1_4,EPIISL170030,University of Michigan SPH EPID,Centers for Disease Control and Prevention,H3N2
EPI556135 | 3000097777_261970_v1_4,EPIISL170018,Montana Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI556036 | A/Paris/2082/2014,EPIISL169987,Institut Pasteur,Institut Pasteur,H3N2
EPI555551 | 3000096754_261782_v1_4,EPIISL169946,California Department of Health Services,Centers for Disease Control and Prevention,H3N2
EPI555491 | 3000096767_261940_v1_4,EPIISL169937,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,H3N2
EPI555263 | 3000093767_261645_v1_4,EPIISL169906,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,H3N2
EPI555044 | A/Astrakhan/RII23/2014,EPIISL169816,,WHO National Influenza Centre Russian Federation,H3N2
EPI554910 | 2014-CX0885.4,EPIISL169743,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI554889 | 2014-CX0859.4,EPIISL169736,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI554877 | 2014-CX0802.4,EPIISL169732,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI554874 | 2014-CX0801.4,EPIISL169731,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI554742 | 2014-CX1031.4,EPIISL169687,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI554694 | 2015-CX0007.4,EPIISL169671,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI554685 | 2015-CX0045.4,EPIISL169668,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI554591 | A/Sao Paulo/2-25786/2014,EPIISL169624,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H3N2
EPI553959 | 3000092957_260476_v1_4,EPIISL169508,New York State Department of Health,Centers for Disease Control and Prevention,H3N2
EPI553935 | 3000092948_260472_v1_4,EPIISL169505,New York State Department of Health,Centers for Disease Control and Prevention,H3N2
EPI553794 | 3000092754_260563_v1_4,EPIISL169488,Ohio Department of Health Laboratories,Centers for Disease Control and Prevention,H3N2
EPI553711 | 3000097729_260536_v1_4,EPIISL169477,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,H3N2
EPI553633 | 3000093018_260388_v1_4,EPIISL169468,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,H3N2
EPI553625 | 3000096722_260643_v1_4,EPIISL169467,Arkansas Department of Health,Centers for Disease Control and Prevention,H3N2
EPI553259 | A/SENDAI/72/2014_MDCK2_HA,EPIISL169407,Sendai City Institute of Public Health,National Institute of Infectious Diseases (NIID),H3N2
EPI553190 | A/Extremadura/2061/2014_HA,EPIISL169382,Servicio de Microbiología Hospital San Pedro de Alcántara,Instituto de Salud Carlos III,H3N2
EPI553092 | 3000093146_260465_v1_4,EPIISL169340,Georgia Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI553016 | 3000093034_260188_v1_4,EPIISL169329,Houston Department of Health and Human Services,Centers for Disease Control and Prevention,H3N2
EPI556605 | 3000093121_260414_v1_4,EPIISL169315,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,H3N2
EPI552917 | 3000093085_260338_v1_4,EPIISL169308,Wyoming Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI552863 | 3000093131_260372_v1_4,EPIISL169296,New Jersey Department of Health & Senior Services,Centers for Disease Control and Prevention,H3N2
EPI552855 | 3000093116_260368_v1_4,EPIISL169294,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,H3N2
EPI552706 | infl_14-17393NGS_H3,EPIISL169259,,Swedish Institute for Infectious Disease Control,H3N2
EPI552698 | infl_14-17292NGS_H3,EPIISL169258,,Swedish Institute for Infectious Disease Control,H3N2
EPI552690 | infl_14-16933NGS_H3,EPIISL169257,,Swedish Institute for Infectious Disease Control,H3N2
EPI552682 | infl_14-15569NGS_H3,EPIISL169256,,Swedish Institute for Infectious Disease Control,H3N2
EPI552674 | infl_14-16336NGS_H3,EPIISL169255,,Swedish Institute for Infectious Disease Control,H3N2
EPI552661 | A/Galicia/2056/2014_HA,EPIISL169251,Servicio de Microbiología Hospital Meixoeiro,Instituto de Salud Carlos III,H3N2
EPI552660 | A/Galicia/2055/2014_HA,EPIISL169250,Servicio de Microbiología Hospital Meixoeiro,Instituto de Salud Carlos III,H3N2
EPI552658 | A/LaRioja/2053/2014_HA,EPIISL169248,Servicio de Microbiología Hospital San Pedro,Instituto de Salud Carlos III,H3N2
EPI552651 | A/Asturias/1949/2014_HA,EPIISL169241,Servicio de Microbiología Hospital Central Universitario de Asturias,Instituto de Salud Carlos III,H3N2
EPI552645 | NIPH2014-3046.4,EPIISL169235,"Oslo University Hospital, Ulleval Hospital, Dept. of Microbiology",Norwegian Institute of Public Health,H3N2
EPI552640 | NIPH2014-3011.4,EPIISL169230,"Oslo University Hospital, Ulleval Hospital, Dept. of Microbiology",Norwegian Institute of Public Health,H3N2
EPI552638 | NIPH2014-3002.4,EPIISL169228,"Stavanger Universitetssykehus, Avd. for Medisinsk Mikrobiologi",Norwegian Institute of Public Health,H3N2
EPI552417 | infl_14-15962ngs_H3,EPIISL169133,,Swedish Institute for Infectious Disease Control,H3N2
EPI552366 | 3000093010_260156_v1_4,EPIISL169126,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI552292 | 3000097721_259675_v1_4,EPIISL169115,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,H3N2
EPI552251 | 3000093028_260169_v1_4,EPIISL169109,Utah Department of Health,Centers for Disease Control and Prevention,H3N2
EPI552214 | 3000093051_260291_v1_4,EPIISL169104,Indiana State Department of Health Laboratories,Centers for Disease Control and Prevention,H3N2
EPI552165 | 3000093009_260154_v1_4,EPIISL169096,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI551792 | 14S2102,EPIISL168944,Monash Medical Centre,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI551786 | 14S2924,EPIISL168942,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI551101 | 2014-CX0898.4,EPIISL168734,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI551098 | 2014-CX0899.4,EPIISL168733,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H3N2
EPI551080 | 3000092941_260030_v1_4,EPIISL168727,Houston Department of Health and Human Services,Centers for Disease Control and Prevention,H3N2
EPI551067 | 3000092919_260001_v1_4,EPIISL168725,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H3N2
EPI550996 | 3000092735_259736_v2_4,EPIISL168716,New Hampshire Public Health Laboratories,Centers for Disease Control and Prevention,H3N2
EPI550975 | 3000092715_259703_v2_4,EPIISL168713,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,H3N2
EPI550927 | 3000092702_259699_v2_4,EPIISL168707,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,H3N2
EPI549108 | 3000092695_259691_v1_4,EPIISL168134,Alaska State Virology Lab,Centers for Disease Control and Prevention,H3N2
EPI553587 | 3000092731_259733_v1_4,EPIISL168100,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,H3N2
EPI548110 | infl_14-15373NGS_H3,EPIISL167958,,Swedish Institute for Infectious Disease Control,H3N2
EPI548102 | infl_14-15090NGS_H3,EPIISL167957,,Swedish Institute for Infectious Disease Control,H3N2
EPI548054 | 2014769065_259639_v1_4,EPIISL167951,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H3N2
EPI547806 | 2014769139_259255_v1_4,EPIISL167920,Laboratorio Nacional de Influenza,Centers for Disease Control and Prevention,H3N2
EPI547774 | 2014769098_259022_v2_4,EPIISL167916,California Department of Health Services,Centers for Disease Control and Prevention,H3N2
EPI547766 | 2014769097_259021_v2_4,EPIISL167915,California Department of Health Services,Centers for Disease Control and Prevention,H3N2
EPI545749 | 3000092309_259145_v1_4,EPIISL167418,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,H3N2
EPI545718 | 3000092312_259133_v1_4,EPIISL167414,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,H3N2
EPI545679 | 3000092301_259126_v1_4,EPIISL167409,Pennsylvania Department of Health,Centers for Disease Control and Prevention,H3N2
EPI545664 | 3000092687_259629_v1_4,EPIISL167407,Mississippi Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI545622 | 3000092671_259614_v1_4,EPIISL167401,Wyoming Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI544484 | 2014769107_258554_v1_4,EPIISL166992,Pennsylvania Department of Health,Centers for Disease Control and Prevention,H3N2
EPI543693 | 2014767769_258655_v1_4,EPIISL166833,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,H3N2
EPI543684 | 2014769106_258773_v1_4,EPIISL166830,Pennsylvania Department of Health,Centers for Disease Control and Prevention,H3N2
EPI543146 | a-santa_fe-85912-2014h3L,EPIISL166744,Instituto Nacional de Enfermedades Infecciosas,National Institute for Medical Research,H3N2
EPI543120 | a-chaco-6199-2014h3L,EPIISL166731,Instituto Nacional de Enfermedades Infecciosas,National Institute for Medical Research,H3N2
EPI543114 | a-cameroon-4680-2014h3L,EPIISL166728,Centre Pasteur du Cameroun,National Institute for Medical Research,H3N2
EPI541980 | A/Distrito Federal/75551/2014,EPIISL166402,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H3N2
EPI540822 | 2014767255_256660_v1_4,EPIISL165949,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,H3N2
EPI540818 | 2014767259_256655_v1_4,EPIISL165945,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,H3N2
EPI540817 | 2014767089_256364_v1_4,EPIISL165944,Minnesota Department of Health,Centers for Disease Control and Prevention,H3N2
EPI540058 | 2014767643_257004_v1_4,EPIISL165726,CENETROP,Centers for Disease Control and Prevention,H3N2
EPI540048 | 2014767748_257120_v1_4,EPIISL165716,Instituto de Salud Publica de Chile ,Centers for Disease Control and Prevention,H3N2
EPI540044 | 2014767744_257116_v1_4,EPIISL165712,Instituto de Salud Publica de Chile ,Centers for Disease Control and Prevention,H3N2
EPI540042 | 2014767742_257114_v1_4,EPIISL165710,Instituto de Salud Publica de Chile ,Centers for Disease Control and Prevention,H3N2
EPI540040 | 2014767266_256856_v1_4,EPIISL165708,Michigan Department of Community Health,Centers for Disease Control and Prevention,H3N2
EPI540039 | 2014767265_256855_v1_4,EPIISL165707,Michigan Department of Community Health,Centers for Disease Control and Prevention,H3N2
EPI539999 | 2014767125_256395_v1_4,EPIISL165667,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,H3N2
EPI539998 | 2014767124_256394_v1_4,EPIISL165666,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,H3N2
EPI539407 | A/Mato Grosso do Sul/69756/2014,EPIISL165468,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H3N2
EPI539402 | A/Sao Paulo/13-10842/2014,EPIISL165463,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H3N2
EPI539401 | A/Sao Paulo/3-29553/2014,EPIISL165462,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H3N2
EPI537990 | A/Mato Grosso do Sul/66636/2014,EPIISL164798,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H3N2
EPI770026 | A/Hubei-Yunxi/35/2014,EPIISL223764,Hubei Provincial center for disease control and prevention,Hubei Provincial Center for Disease Control and Prevention,H3N2
EPI748168 | 14S2364,EPIISL219296,"Ministry of Health, Singapore",WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI685775 | 3000097578_263925_v1_4,EPIISL205604,Virginia Division of Consolidated Laboratories,Centers for Disease Control and Prevention,H3N2
EPI650083 | A/Nizhni Novgorod/RII9042/2014,EPIISL197580,,WHO National Influenza Centre Russian Federation,H3N2
EPI650081 | A/Astrakhan/RII29/2014,EPIISL197578,,WHO National Influenza Centre Russian Federation,H3N2
EPI630463 | A/WAKAYAMA/145/2014_clinical_HA,EPIISL193033,Wakayama Prefectural Research Center of Environment and Public Health,National Institute of Infectious Diseases (NIID),H3N2
EPI629975 | 15S0969,EPIISL192819,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629969 | 15S0966,EPIISL192816,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629955 | 15S0959,EPIISL192809,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629948 | 15S0954,EPIISL192806,Victorian Infectious Diseases Reference Laboratory ,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629855 | 15S0491,EPIISL192765,Medical Research Institute,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI629771 | 15S0424,EPIISL192729,National Centre for Scientific Services for Virology  and Vector Borne Diseases,WHO Collaborating Centre for Reference and Research on Influenza,H3N2
EPI623470 | 3000092925_259991_v1_4,EPIISL191432,Washington State Public Health Laboratory,Centers for Disease Control and Prevention,H3N2
EPI623443 | 3000092952_260043_v1_4,EPIISL191427,New York State Department of Health,Centers for Disease Control and Prevention,H3N2
EPI622010 | 3000093508_266689_v1_4,EPIISL191030,CSEE,Centers for Disease Control and Prevention,H3N2
EPI619052 | A/IBARAKI/63/2014_Clinical specimen_HA,EPIISL190374,Ibaraki Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H3N2
EPI619050 | A/IBARAKI/67/2014_MDCK2_HA,EPIISL190373,Ibaraki Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H3N2
EPI619046 | A/IBARAKI/61/2014_MDCK2_HA,EPIISL190371,Ibaraki Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H3N2
EPI612238 | 3000096944_264084_v1_4,EPIISL188869,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,H3N2
